Common Name,Scientific Name,Flower  Colour,Bloom Time,Height,Light,Moisture,Chelsea Chop?,Perrenial/Annual,Ontario native?,Locally Native?,Deer Resistant?,Ecological Benefit,Additional information
Canada Columbine,Aquilegia canadensis,Striking bicolour blooms with red spurs and yellow centres. The flowers hang downward like delicate bells.,Spring  through mid  summer,"12-24""",Full sun to part shade,Average to dry,Yes,Perennial,Yes,Yes,Yes,Important early nectar source for hummingbirds and bees,"A delicate woodland native famous for its intricate, lantern-like flowers and its unique relationship with hummingbirds. Great for rock gardens. Will self seed (not aggressively). Does well in dry shade."
Anise Hyssop,Agastache foeniculum,Purple,Summer through fall,"24-48""",Full sun to part shade,Average to moderately dry,Yes,Perennial,"Some sources say yes, while others say iit was naturalized in Ontario.",No,Yes,"A pollinator magnet! Native bees, butterflies, hummingbirds. Birds will eat seeds from dead flower heads in winter",Crushed leaves smell like anise (licorace) and can be used for tea.
Prairie  Smoke,Geum  triflorum,Red to pink,Spring with possible second bloom in  summer,"12""",Full sun to part shade,Average to moderately dry,No,Perennial,Yes,No,Yes,An early blooming flower for pollinators,"A compact plant with attractive foliage. Pink, wispy seed heads are why the plant is called prairie ‘smoke’."
Great Blue Lobelia,Lobelia siphilitica,Blue to purple,Summer through fall,"24-36""",Full sun to part shade,Average to  moderately wet,No,Perennial,Yes,No,Yes,Hummingbird and pollinator magnet!,"An incredibly showy, tall plant that thrives dappled light and some moisture"
Yellow Giant Hyssop,Agastache nepetoides,"Cream, greenish-white",Late summer through fall,"36-72""",Full sun to part shade,Average to moist,Yes,Perennial,Yes,No,Yes,Attractict to native bees and other insects. Birds love seeds from dead flower heads.,Flowers sometimes have a pinkish hue
Foxglove Beardtongue,Penstemon digitalis,White,Spring through mid summer,"24 - 36""",Full sun to part shade,Average to dry,Yes,Perennial,Yes,Yes,Yes,"Pollinator magnet, especially native bees!","Basal rosette of leaves, which are larger and rounder than Hairy Beardtongue. Clump-forming."
Hairy Beardtongue,Penstemon hirsutus,Mauve & white,Spring through mid summer,"18-24""",Full sun to full shade,Moderately dry to moderately wet,No,Perennial,Yes,Yes,Yes,"Pollinator magnet, especially native bees!",Basal rosette of leaves. Clump-forming.
Wild Bergamot,Monarda fistulosa,Mauve to pink,Spring through mid  summer,"24-48""",Full sun to part shade,Average to dry,Yes,Perennial,Yes,Yes,Yes,"Pollinator magnet, especially native bees!","Suseptible to powdery mildew, but generally has little impact."
Sky Blue Aster,Symphyotrichum oolentangiense,Light purple,Late summer through fall,"24 - 36""",Full sun to part shade,Average to dry,Yes,Perennial,Yes,Yes,Yes,An important  source of nectar for Monarch butterflies and other insects in the fall,A lovely garden addition to provide colour in the fall
Nodding Onion,Allium cernuum,White to pale lavender,Mid to late  summer,"24 - 36""",Full sun to part shade,Average to dry,No,Perennial,Yes,No,Yes,"Valuable late-season nectar source, when fewer plants are blooming",Grows from a bulb. Can self-seed and spread slowly.
Wild Lupine,Lupinus perennis,Blue to violet-blue,Late spring through early summer,"12-24""",Full   sun;  tolerates light shade,Average to dry,No,Perennial,Yes,No,"Young plants  may be suseptible, but mature plants are bitter tasting","Important early-season pollinator plant. As a legume, it fixes nitrogen, improving soil fertility.
Especially critical species in oak savanna and sand barren ecosystems",Sole larval host for the endangered Karner blue butterfly
